path	status code	hunks	area	resolution	rule
.env.example	UU	2	root-and-ci	ours	root-ci-hand
.github/workflows/benchmark-harbor.yml	UU	1	root-and-ci	ours	root-ci-hand
.github/workflows/ci.yml	UU	8	root-and-ci	ours	root-ci-hand
.github/workflows/docker.yml	UU	2	root-and-ci	ours	root-ci-hand
.release/desktop-candidate.json	UU	1	root-and-ci	ours	root-ci-hand
AGENTS.md	UU	2	root-and-ci	ours	root-ci-hand
CHANGELOG.md	UU	2	root-and-ci	ours	root-ci-hand
Cargo.lock	UU	16	root-and-ci	theirs	cargo-lock-upstream
Cargo.toml	UU	2	root-and-ci	union	cargo-workspace-union
Justfile	UU	5	root-and-ci	ours	root-ci-hand
admin-web/src/App.tsx	UU	10	web	theirs	mobile-web-upstream
admin-web/src/api.ts	UU	8	web	theirs	mobile-web-upstream
admin-web/src/styles.css	UU	1	web	theirs	mobile-web-upstream
admin-web/tests/auth.spec.ts	AA	2	web	theirs	both-added-upstream
crates/buzz-acp/README.md	UU	1	buzz-acp	ours	core-hand
crates/buzz-acp/src/acp.rs	UU	3	buzz-acp	ours	core-hand
crates/buzz-acp/src/base_prompt.md	UU	2	buzz-acp	ours	core-hand
crates/buzz-acp/src/config.rs	UU	5	buzz-acp	ours	core-hand
crates/buzz-acp/src/lib.rs	UU	61	buzz-acp	ours	core-hand
crates/buzz-acp/src/pool.rs	UU	126	buzz-acp	ours	core-hand
crates/buzz-acp/src/prompt_framing.rs	AA	2	buzz-acp	theirs	both-added-upstream
crates/buzz-acp/src/prompt_project.rs	AA	5	buzz-acp	theirs	both-added-upstream
crates/buzz-acp/src/queue.rs	UU	51	buzz-acp	ours	core-hand
crates/buzz-acp/src/relay.rs	UU	15	buzz-acp	ours	core-hand
crates/buzz-acp/src/scope.rs	AA	5	buzz-acp	theirs	both-added-upstream
crates/buzz-acp/src/setup_mode.rs	UU	8	buzz-acp	ours	core-hand
crates/buzz-acp/src/usage.rs	UU	3	buzz-acp	ours	core-hand
crates/buzz-admin/Cargo.toml	UU	1	root-and-ci	ours	remaining-hand
crates/buzz-admin/src/main.rs	UU	2	root-and-ci	ours	remaining-hand
crates/buzz-agent/src/auth.rs	UU	3	root-and-ci	ours	remaining-hand
crates/buzz-agent/tests/fake_llm.rs	UU	8	root-and-ci	ours	remaining-hand
crates/buzz-audit/src/service.rs	UU	1	root-and-ci	ours	remaining-hand
crates/buzz-auth/src/nip98.rs	UU	1	root-and-ci	ours	remaining-hand
crates/buzz-cli/Cargo.toml	UU	1	root-and-ci	ours	remaining-hand
crates/buzz-cli/README.md	UU	1	root-and-ci	ours	remaining-hand
crates/buzz-cli/src/agent_management.rs	UU	1	root-and-ci	ours	remaining-hand
crates/buzz-cli/src/client.rs	UU	5	root-and-ci	ours	remaining-hand
crates/buzz-cli/src/commands/channels.rs	UU	3	root-and-ci	ours	remaining-hand
crates/buzz-cli/src/commands/issues.rs	UU	4	root-and-ci	ours	remaining-hand
crates/buzz-cli/src/commands/messages.rs	UU	3	root-and-ci	ours	remaining-hand
crates/buzz-cli/src/commands/mod.rs	UU	2	root-and-ci	ours	remaining-hand
crates/buzz-cli/src/commands/project_channel.rs	AA	2	root-and-ci	theirs	both-added-upstream
crates/buzz-cli/src/commands/projects.rs	UU	5	root-and-ci	ours	remaining-hand
crates/buzz-cli/src/commands/repos.rs	UU	2	root-and-ci	ours	remaining-hand
crates/buzz-cli/src/help_tree.rs	AA	1	root-and-ci	theirs	both-added-upstream
crates/buzz-cli/src/lib.rs	UU	9	root-and-ci	ours	remaining-hand
crates/buzz-cli/src/links.rs	UU	6	root-and-ci	ours	remaining-hand
crates/buzz-db/TESTING.md	AA	1	buzz-db-workflow-port	theirs	both-added-upstream
crates/buzz-db/src/admin_moderation.rs	UD	0	buzz-db-workflow-port	delete	upstream-deletion
crates/buzz-db/src/lib.rs	UU	1	buzz-db-workflow-port	theirs	buzz-db-upstream
crates/buzz-db/src/migration.rs	UD	0	migrations	ours	migration-schema-hand
crates/buzz-db/src/runtime/replica_fence.rs	UU	5	buzz-db-workflow-port	theirs	buzz-db-upstream
crates/buzz-db/src/store/api_token.rs	UU	1	buzz-db-workflow-port	theirs	buzz-db-upstream
crates/buzz-db/src/store/archived_identities.rs	UU	1	buzz-db-workflow-port	theirs	buzz-db-upstream
crates/buzz-db/src/store/channel_members.rs	UU	12	buzz-db-workflow-port	theirs	buzz-db-upstream
crates/buzz-db/src/store/event.rs	UU	4	buzz-db-workflow-port	theirs	buzz-db-upstream
crates/buzz-db/src/store/feed.rs	UU	3	buzz-db-workflow-port	theirs	buzz-db-upstream
crates/buzz-db/src/store/git_repo.rs	UU	1	buzz-db-workflow-port	theirs	buzz-db-upstream
crates/buzz-db/src/store/moderation.rs	UU	1	buzz-db-workflow-port	theirs	buzz-db-upstream
crates/buzz-db/src/store/push.rs	UU	2	buzz-db-workflow-port	theirs	buzz-db-upstream
